offer_changed_notification_id,seller_id,seller_positive_feed_back_rating,listing_price,is_amazon,is_fulfilled_by_amazon
226290157,A9HEF3NCNW35R,90.0,$198.96,False,False
226290157,A2SLNIN3CVUI6R,87.0,$399.99,False,False
226295962,A3HZSDZP7G2Z7D,91.0,$97.99,False,False
226301484,AYX4QZIGCPIZG,83.0,$79.83,False,False
226312446,A3QTWFHERA9T9K,92.0,$309.11,False,False
226312446,A3I9WORQ1O7A8E,91.0,$249.99,False,False
226312446,A06539733L3EU9YCFA4GK,97.0,$249.99,False,False
226312446,A2ORBDCYCUO8O7,69.0,$249.99,False,False
226312446,AQ6GKCHT8OP7C,95.0,$249.99,False,False
226312446,AYX4QZIGCPIZG,83.0,$249.99,False,False
226312446,A12W7U7OH6TAX0,93.0,$249.99,False,False
226312446,A2BUP77F6YZUTO,86.0,$249.99,False,False
226312446,A3I9WORQ1O7A8E,91.0,$249.99,False,False
226312446,A2R2RITDJNW1Q6,91.0,$220.78,True,True
226312446,A29AR7PCO01I9W,100.0,$212.00,False,False
226312446,A126OUKFTYQCQI,99.0,$249.99,False,False
226321631,A2R2RITDJNW1Q6,91.0,$43.49,True,True
226328242,A1L0J6J9ZYHA6P,80.0,$32.74,False,False
226328242,A3249TVS2E25YP,96.0,$32.99,False,False
226328242,A3LFP6Q8V3MG10,81.0,$40.33,False,False
226328242,A2BVL01R53GQ6P,83.0,$48.45,False,False
226331935,AYX4QZIGCPIZG,83.0,$686.89,False,False
226331935,A19NXYPR29N4VV,91.0,$782.27,False,False
226348535,A2R2RITDJNW1Q6,91.0,$141.07,True,True
226367170,AIJP7UMTW4R7L,84.0,$859.68,False,False
226367170,A26FDUJGRDJMV6,82.0,$874.02,False,False
226367170,A1L4LS2KNDBWYV,84.0,$890.97,False,False
226367170,A2L97JA8DAGJXC,80.0,$891.20,False,False
226367170,A3507MDIA5D1K5,80.0,$900.03,False,False
226367170,A35BKNF7G8DU3K,82.0,$814.11,False,False
226367170,A28RLDM1H397LC,79.0,$941.17,False,False
226367170,A3N8QSA4G1FAKC,88.0,$969.50,False,False
226367170,A4CV8HPUIYLAS,91.0,$993.12,False,False
226367170,A3BBGQF3LT7QDY,70.0,"$1,002.52",False,False
226367170,AY4K41KW4WECP,86.0,"$1,017.02",False,False
226367170,A1L4LS2KNDBWYV,84.0,"$1,070.13",False,False
