offer_changed_notification_id,num_competitors,num_fulfilled_by_amazon,amazon_present,min_price,max_feed_back_rating
226290157,2,0,False,198.96,90.0
226295962,1,0,False,97.99,91.0
226301484,1,0,False,79.83,83.0
226312446,12,1,True,212.0,100.0
226321631,1,1,True,43.49,91.0
226328242,4,0,False,32.74,96.0
226331935,2,0,False,686.89,91.0
226348535,1,1,True,141.07,91.0
226367170,19,0,False,794.0,94.0
226367862,1,1,False,69.99,97.0
226380203,1,0,False,82.99,98.0
226389542,3,0,False,879.0,90.0
226390265,1,0,False,39.76,92.0
226397049,1,1,True,199.99,91.0
226397739,1,0,False,141.0,94.0
226398613,5,2,False,75.99,97.0
226427803,6,0,False,370.11,94.0
226435522,1,1,True,69.99,91.0
226469017,5,1,True,98.86,100.0
226510397,2,2,True,95.99,91.0
226526607,2,1,True,99.89,91.0
226534215,2,0,False,1999.0,75.0
226546659,1,1,False,36.99,86.0
226546901,2,2,True,65.99,91.0
226568198,4,1,False,52.99,96.0
226599465,1,0,False,34.95,94.0
226600412,1,0,False,299.96,87.0
226604665,1,0,False,269.99,88.0
226606680,8,2,False,78.89,98.0
226613457,1,0,False,599.0,85.0
226614652,1,1,True,29.99,91.0
226619696,3,1,True,421.43,94.0
226619871,5,1,True,132.07,92.0
226619969,1,1,True,67.29,91.0
226622056,1,0,False,99.99,96.0
226626902,1,1,False,139.9,92.0
226628367,2,0,False,2499.0,79.0
226628457,1,1,False,69.99,93.0
226629362,1,1,False,62.78,83.0
226629459,1,0,False,269.99,80.0
226629496,1,0,False,469.99,80.0
226629591,1,0,False,439.99,80.0
226629894,1,0,False,239.99,80.0
226630072,4,0,False,52.42,92.0
226630203,1,0,False,52.69,80.0
226630431,1,0,False,236.99,80.0
226630682,1,0,False,219.99,80.0
226630884,1,0,False,439.99,80.0
226641379,1,1,False,62.78,83.0
226646018,2,1,False,204.5,99.0
226657210,2,0,False,141.99,87.0
226661083,2,0,False,20.99,91.0
226668848,1,0,False,195.99,80.0
226679741,1,0,False,144.6,83.0
226683892,2,1,True,32.0,100.0
226696650,2,0,False,149.95,98.0
226703820,2,1,True,46.09,94.0
226711038,11,3,False,82.39,100.0
226716627,1,0,False,199.09,92.0
226720087,3,1,False,111.99,96.0
226722592,1,1,False,129.0,94.0
226722973,5,1,True,28.28,98.0
226728144,3,1,False,1595.0,99.0
226737202,1,1,False,114.99,97.0
226737225,2,1,False,46.94,91.0
226738152,2,0,False,37.95,90.0
226740499,1,1,False,27.99,99.0
226740600,1,1,False,59.99,97.0
226741288,1,1,False,99.99,97.0
226741383,2,1,True,49.99,91.0
226743436,2,1,False,924.99,91.0
226746298,1,0,False,174.0,94.0
226749379,1,0,False,119.99,79.0
226755810,2,0,False,324.0,75.0
226757226,4,1,True,59.89,95.0
226758466,2,2,False,34.95,100.0
226758716,1,0,False,330.0,89.0
226762651,4,1,False,89.99,97.0
226765831,1,0,False,79.99,95.0
226767137,1,0,False,79.99,95.0
226767168,1,0,False,87.43,95.0
226768803,1,1,False,189.99,99.0
226768960,2,1,True,63.95,91.0
226770238,1,1,True,132.39,91.0
226771727,1,0,False,427.96,85.0
226772062,1,0,False,86.99,95.0
226772994,1,0,False,84.85,95.0
226773357,3,0,False,64.99,88.0
226773398,2,0,False,134.8,84.0
226776518,4,0,False,1499.0,100.0
226776571,1,0,False,31.99,100.0
226776774,2,2,True,31.43,98.0
226783375,1,1,False,69.99,97.0
226783437,2,0,False,208.99,98.0
226789343,1,0,False,415.0,80.0
226790563,2,0,False,284.0,89.0
226800269,1,1,False,29.99,100.0
226800798,2,1,True,239.99,91.0
226804692,2,1,True,49.1,98.0
226805459,2,2,True,65.99,91.0
226811778,1,1,True,193.39,91.0
226814571,1,0,False,429.9,87.0
226820538,1,1,False,249.99,99.0
226821755,6,1,True,93.59,91.0
226826828,4,1,True,153.32,93.0
226828319,3,0,False,2499.0,79.0
226828526,4,0,False,399.0,88.0
226828896,2,1,True,113.59,94.0
226833232,3,0,False,115.36,90.0
226833510,3,0,False,350.0,86.0
226836462,2,1,True,319.22,91.0
226851897,2,1,True,59.99,94.0
226866228,5,1,False,159.99,92.0
226877212,2,1,True,65.67,91.0
226878145,2,1,False,150.0,94.0
226889632,1,0,False,64.99,99.0
226893707,4,2,True,152.99,96.0
226896325,2,1,False,129.74,96.0
226898314,1,1,False,49.99,97.0
226899683,1,1,True,25.79,91.0
226899693,1,0,False,579.99,93.0
226908030,1,0,False,239.99,88.0
226911965,1,0,False,327.0,97.0
226913204,2,0,False,79.99,87.0
226917784,1,0,False,799.0,82.0
226924877,1,1,False,34.0,98.0
226925351,1,1,True,209.99,91.0
226926093,1,1,True,2319.42,91.0
226929151,1,1,False,34.99,86.0
226929437,1,0,False,129.95,93.0
226929732,1,1,False,206.94,99.0
226930672,1,1,False,39.99,86.0
226939788,4,0,False,229.99,98.0
226942086,1,1,False,45.0,75.0
226947916,1,1,True,28.59,91.0
226947948,2,0,False,259.99,93.0
226949693,1,1,False,69.99,97.0
226949861,3,1,True,54.29,94.0
226950411,8,1,True,999.0,100.0
226953152,1,1,True,556.69,91.0
226954742,5,2,True,19.95,100.0
226958745,1,0,False,239.99,100.0
226963749,1,1,True,239.98,91.0
226963848,2,2,True,258.9,100.0
226964669,3,0,False,105.99,91.0
226965451,2,2,True,20.8,91.0
226965472,2,2,True,23.19,91.0
226968271,3,1,True,80.39,94.0
226968907,3,1,True,69.55,91.0
226969913,11,1,True,29.99,96.0
226971772,1,0,False,26.99,85.0
226973790,2,0,False,36.74,91.0
226974029,1,1,False,99.99,96.0
226974851,4,1,False,749.0,98.0
226983006,3,0,False,219.95,92.0
226983399,1,0,False,134.28,47.0
226989236,7,0,False,84.95,76.0
226991418,1,0,False,149.99,96.0
226998153,2,0,False,203.5,83.0
226998313,1,0,False,109.99,91.0
227000753,1,1,False,21.99,100.0
227000931,2,1,False,46.99,91.0
227002402,6,1,True,1249.99,91.0
227004137,1,1,False,139.99,88.0
227006098,5,1,True,46.85,91.0
227007831,1,1,False,79.99,97.0
227011231,3,1,True,44.69,91.0
227021034,1,0,False,68.99,98.0
227023015,1,0,False,199.99,80.0
227023023,1,0,False,135.92,90.0
227023197,1,0,False,1449.0,86.0
227023641,1,0,False,559.0,88.0
227025454,2,0,False,214.79,50.0
227025628,5,2,True,332.99,100.0
227026199,2,0,False,230.99,88.0
227034152,1,1,False,296.8,94.0
227034307,1,0,False,33.98,100.0
227040139,2,1,False,159.99,98.0
227040300,2,0,False,149.99,100.0
227040627,4,0,False,99.99,96.0
227043840,1,0,False,1290.0,95.0
227045267,2,1,True,23.09,91.0
227046024,1,1,True,112.2,91.0
227047593,3,2,True,47.62,91.0
227051592,2,2,False,199.0,94.0
227051693,4,2,True,116.99,94.0
227055893,2,0,False,72.79,87.0
227057383,2,0,False,399.99,91.0
227058364,1,0,False,81.99,81.0
227061680,1,1,True,27.81,91.0
227062013,4,1,True,132.09,91.0
227062091,4,1,True,108.09,91.0
227062189,2,1,True,31.79,100.0
227063480,4,2,True,17.0,95.0
227064368,2,2,False,36.99,100.0
227064405,2,1,True,178.98,100.0
227065579,1,0,False,618.88,82.0
227068948,5,2,False,87.99,98.0
227071616,5,2,True,68.97,91.0
227074614,1,1,False,84.78,83.0
227074629,1,1,True,53.39,91.0
227078023,1,0,False,264.0,97.0
227078180,8,4,False,16.98,100.0
227080354,1,0,False,139.99,91.0
227080504,1,0,False,299.99,88.0
227081931,4,0,False,48.0,93.0
227082840,3,0,False,499.99,87.0
227088349,8,0,False,18.49,100.0
227088419,2,2,False,149.99,99.0
227090548,1,1,False,49.99,98.0
227092580,3,0,False,119.99,91.0
227093473,2,1,False,299.0,99.0
227094439,5,0,False,249.0,94.0
227099124,8,0,False,61.29,95.0
227099500,3,0,False,187.24,87.0
227105503,2,1,True,42.99,95.0
227110030,2,1,True,299.99,91.0
227110473,10,0,False,220.74,100.0
227111843,5,2,True,76.76,94.0
227113711,4,2,False,1150.0,100.0
227115803,2,1,True,58.99,91.0
227120517,12,0,False,23.5,99.0
227125420,2,0,False,28.47,93.0
227127419,2,0,False,45.67,86.0
227130550,3,1,True,30.89,94.0
227133157,3,2,True,29.99,98.0
227134809,2,1,False,59.99,74.0
227135083,1,0,False,379.99,90.0
227136276,3,0,False,84.94,86.0
